OFFSET_X,OFFSET_Y,SSLOC_X,SSLOC_Y,SSLOC_Z,SRC_X,SRC_Y,SRC_Z,RCV_X,RCV_Y,RCV_Z
-2400,-300,13751,16981,1498,13525,16850,0,11125,16550,0
-2400,-300,13746,17020,1551,13375,16850,0,10975,16550,0
-2400,-300,13778,17140,1255,13675,17450,0,11275,17150,0
-2400,-300,13406,16754,1647,12925,17450,0,10525,17150,0
-2400,-300,13130,16533,1913,9925,17450,0,7525,17150,0
-2400,-300,13983,18909,1685,13675,18650,0,11275,18350,0
-2400,-300,13121,16955,2187,11575,17450,0,9175,17150,0
-2400,-300,13515,18370,1617,12775,18650,0,10375,18350,0
-2400,-300,13130,16968,2207,11875,17450,0,9475,17150,0
-2400,-300,13474,18479,1657,12775,19250,0,10375,18950,0
-2400,-300,13471,18498,1738,12625,19250,0,10225,18950,0
-2400,-300,13078,16752,2159,11875,18650,0,9475,18350,0
-2400,-300,13395,18323,1940,10075,19250,0,7675,18950,0
-2400,-300,14389,19337,1706,14425,19250,0,12025,18950,0
-2400,-300,13098,16725,2007,10525,18050,0,8125,17750,0
-2400,-300,13422,17473,1735,12925,18050,0,10525,17750,0
-2400,-300,13662,17897,1559,13825,18050,0,11425,17750,0
-2400,-300,13120,16743,2097,10675,18050,0,8275,17750,0
-2400,-300,13223,17579,2174,9325,18650,0,6925,18350,0
-2400,-300,13416,17636,1884,12475,18050,0,10075,17750,0
-2400,-300,13558,18411,1590,13825,19250,0,11425,18950,0
-2400,-300,13523,18442,1761,13375,19250,0,10975,18950,0
-2400,-300,13698,18239,1734,13375,18650,0,10975,18350,0
-2400,-300,13372,17701,1822,12475,18650,0,10075,18350,0
-2400,-300,13484,18583,1797,11875,19850,0,9475,19550,0
-2400,-300,13536,18408,1860,13225,19250,0,10825,18950,0
-2400,-300,13554,18392,1923,13075,19250,0,10675,18950,0
-2400,-300,13193,16746,2084,10825,18050,0,8425,17750,0
-2400,-300,13578,18679,1798,12325,19850,0,9925,19550,0
-2400,-300,13420,17720,1807,12625,18650,0,10225,18350,0
-2400,-300,13506,18620,1775,12775,19850,0,10375,19550,0
-2400,-300,13679,18249,1904,13075,18650,0,10675,18350,0
-2400,-300,13550,18703,1863,12475,19850,0,10075,19550,0
-2400,-300,13346,17793,1946,11875,18650,0,9475,18350,0
-2400,-300,13490,18554,1902,10975,19850,0,8575,19550,0
-2400,-300,13640,18255,1868,13225,18650,0,10825,18350,0
-2400,-300,13919,19048,2207,11875,19250,0,9475,18950,0
-2400,-300,13494,18573,1990,11125,19850,0,8725,19550,0
-2400,-300,14267,19798,1891,12775,20450,0,10375,20150,0
-2400,-300,13376,17807,1963,12025,18650,0,9625,18350,0
-2400,-300,13779,19042,2040,12625,19850,0,10225,19550,0
-2400,-300,13598,18466,1860,13675,19250,0,11275,18950,0
-2400,-300,13585,18594,1991,11275,19850,0,8875,19550,0
-2400,-300,14030,19538,2080,12325,20450,0,9925,20150,0
-2400,-300,13803,18752,1884,13675,19850,0,11275,19550,0
-2400,-300,13571,18430,1978,13525,19250,0,11125,18950,0
-2400,-300,13600,18612,2066,11425,19850,0,9025,19550,0
-2400,-300,13781,19238,2082,12775,21050,0,10375,20750,0
-2400,-300,13845,19421,2280,11725,20450,0,9325,20150,0
-2400,-300,13751,19157,2118,12625,21050,0,10225,20750,0
-2400,-300,13789,19273,2242,12475,21050,0,10075,20750,0
-2400,-300,13792,19103,2079,12925,20450,0,10525,20150,0
-2400,-300,13579,18643,2121,10525,19850,0,8125,19550,0
-2400,-300,14035,19458,2196,11725,21050,0,9325,20750,0
-2400,-300,13832,19247,2313,12475,21650,0,10075,21350,0
-2400,-300,14034,19510,2341,12025,21050,0,9625,20750,0
-2400,-300,13660,18993,2176,10825,20450,0,8425,20150,0
-2400,-300,13552,18701,2012,13675,20450,0,11275,20150,0
-2400,-300,13869,19216,2307,13075,21050,0,10675,20750,0
-2400,-300,13863,19353,2324,12175,21050,0,9775,20750,0
-2400,-300,14054,19633,2332,11575,21050,0,9175,20750,0
-2400,-300,14042,19778,2310,10375,21650,0,7975,21350,0
-2400,-300,13717,19001,2253,12925,21050,0,10525,20750,0
-2400,-300,14013,19603,2356,11425,21050,0,9025,20750,0
-2400,-300,14143,19716,2285,11125,21650,0,8725,21350,0
-2400,-300,13962,19556,2384,11275,21050,0,8875,20750,0
-2400,-300,13837,19104,2317,13225,20450,0,10825,20150,0
-2400,-300,13823,19040,2345,13075,20450,0,10675,20150,0
-2400,-300,13251,17059,2172,7825,18650,0,5425,18350,0
-2400,-300,12772,17970,613,12475,24650,0,10075,24350,0
-2100,-300,12864,15933,1642,11575,16850,0,9475,16550,0
-2100,-300,12956,16114,1702,11875,16850,0,9775,16550,0
-2100,-300,13059,16320,1620,12625,16850,0,10525,16550,0
-2100,-300,13018,16125,1697,12025,16850,0,9925,16550,0
-2100,-300,13021,16310,1698,12475,16850,0,10375,16550,0
-2100,-300,13144,16471,1699,13075,16850,0,10975,16550,0
-2100,-300,13115,16462,1803,12925,16850,0,10825,16550,0
-2100,-300,13037,16324,1856,12775,16850,0,10675,16550,0
-2100,-300,14213,18361,1464,14725,18050,0,12625,17750,0
-2100,-300,14212,18472,1457,15025,18050,0,12925,17750,0
-2100,-300,13763,17018,1606,13525,16850,0,11425,16550,0
-2100,-300,13865,17281,1274,13825,17450,0,11725,17150,0
-2100,-300,13871,18206,1451,14725,17450,0,12625,17150,0
-2100,-300,13176,16538,1677,13525,17450,0,11425,17150,0
-2100,-300,14207,18494,1447,15175,18050,0,13075,17750,0
-2100,-300,13135,16809,2195,11875,17450,0,9775,17150,0
-2100,-300,13081,16737,1964,10225,18050,0,8125,17750,0
-2100,-300,13072,16926,2204,11275,18050,0,9175,17750,0
-2100,-300,13754,17794,1579,13375,18050,0,11275,17750,0
-2100,-300,13155,16791,2190,11725,17450,0,9625,17150,0
-2100,-300,13263,17854,2050,10525,18650,0,8425,18350,0
-2100,-300,13175,16885,2153,10375,17450,0,8275,17150,0
-2100,-300,13127,16894,2097,12025,18050,0,9925,17750,0
-2100,-300,13629,18164,1575,13675,18650,0,11575,18350,0
-2100,-300,13113,16743,2069,10375,18050,0,8275,17750,0
-2100,-300,13725,17909,1617,13825,18050,0,11725,17750,0
-2100,-300,13511,18456,1641,13075,19250,0,10975,18950,0
-2100,-300,14371,19402,1746,14425,19250,0,12325,18950,0
-2100,-300,13682,18143,1700,13525,18650,0,11425,18350,0
-2100,-300,13383,17965,1923,11425,18650,0,9325,18350,0
-2100,-300,14411,19186,1558,14575,19250,0,12475,18950,0
-2100,-300,13741,17903,1596,14125,18050,0,12025,17750,0
-2100,-300,13490,18428,1737,12925,19250,0,10825,18950,0
-2100,-300,14160,17872,1310,14575,19250,0,12475,18950,0
-2100,-300,13461,18394,1800,12775,19250,0,10675,18950,0
-2100,-300,13115,16888,2097,11275,18650,0,9175,18350,0
-2100,-300,13499,17476,1839,12925,18050,0,10825,17750,0
-2100,-300,13648,18172,1599,13975,18650,0,11875,18350,0
-2100,-300,13581,18509,1642,13525,19250,0,11425,18950,0
-2100,-300,13264,17530,1944,12175,18650,0,10075,18350,0
-2100,-300,13896,18025,1444,15025,19250,0,12925,18950,0
-2100,-300,14306,19486,1920,13075,19850,0,10975,19550,0
-2100,-300,14314,19481,1930,13225,19850,0,11125,19550,0
-2100,-300,13613,18236,1651,12925,18650,0,10825,18350,0
-2100,-300,13374,17583,1856,12475,18650,0,10375,18350,0
-2100,-300,13391,17643,1887,11875,18650,0,9775,18350,0
-2100,-300,13504,18592,1776,11575,19850,0,9475,19550,0
-2100,-300,14033,19397,2017,12025,19850,0,9925,19550,0
-2100,-300,13409,17661,1939,12025,18650,0,9925,18350,0
-2100,-300,13575,18432,1691,13825,19250,0,11725,18950,0
-2100,-300,13529,18473,1837,13375,19250,0,11275,18950,0
-2100,-300,13512,17467,1910,12625,18050,0,10525,17750,0
-2100,-300,13547,18603,1827,11725,19850,0,9625,19550,0
-2100,-300,13570,18622,1880,11875,19850,0,9775,19550,0
-2100,-300,13605,18442,1914,13225,19250,0,11125,18950,0
-2100,-300,14084,19315,1973,13525,19850,0,11425,19550,0
-2100,-300,13582,18665,1851,12775,19850,0,10675,19550,0
-2100,-300,14210,19624,2050,12625,20450,0,10525,20150,0
-2100,-300,13553,18655,2007,10225,19250,0,8125,18950,0
-2100,-300,13634,18428,2863,17275,18650,0,15175,18350,0
-2100,-300,13638,18568,1976,13075,19250,0,10975,18950,0
-2100,-300,13481,18699,1968,11725,20450,0,9625,20150,0
-2100,-300,13501,18792,2065,11425,20450,0,9325,20150,0
-2100,-300,13882,19075,1879,13075,20450,0,10975,20150,0
-2100,-300,13554,18597,2001,10975,19850,0,8875,19550,0
-2100,-300,13607,18715,1942,12325,19850,0,10225,19550,0
-2100,-300,13799,18804,1951,13675,19850,0,11575,19550,0
-2100,-300,13598,18857,2177,11275,19850,0,9175,19550,0
-2100,-300,13595,18614,2055,11125,19850,0,9025,19550,0
-2100,-300,13464,18506,1886,9775,20450,0,7675,20150,0
